"EVENT","LEVEL","PLAYTIME_AVG","HINT_USED_SUM","RETRY_COUNT_SUM","SKIPPED_SUM","COUNT","COUNT %","USERS","EVENTS PER USER","ENGAGEMENT","TOTAL ACTIVE"
"level_completed","216","13.425542053847982","0","12162","5","8394","0.0007000000000000001","8392","1","0.0319","263000"
"level_completed","217","8.274588178294577","0","8512","1","8256","0.0007000000000000001","8255","1","0.031400000000000004","263000"
"level_completed","218","9.06649522409992","23","12546","5","8166","0.0007000000000000001","8164","1","0.031","263000"
"level_completed","219","6.043339079044574","1","8206","1","8122","0.0007000000000000001","8122","1","0.030899999999999997","263000"
"level_completed","220","12.569646826376886","4","8257","2","8098","0.0007000000000000001","8096","1","0.0308","263000"
"level_completed","221","5.128243327126008","1","8127","0","8055","0.0007000000000000001","8053","1","0.030600000000000002","263000"
"level_completed","222","17.17074394680717","0","8293","1","7971","0.0007000000000000001","7970","1","0.030299999999999997","263000"
"level_completed","223","15.099949520444211","0","10600","1","7924","0.0007000000000000001","7923","1","0.0301","263000"
"level_completed","224","10.960993820803301","0","12309","5","7768","0.0007000000000000001","7766","1","0.029500000000000002","263000"
"level_completed","225","15.179756350440647","0","11101","4","7716","0.0007000000000000001","7714","1","0.029300000000000003","263000"
"level_completed","226","12.695726271630834","0","9666","2","7628","0.0007000000000000001","7628","1","0.028999999999999998","263000"
"level_completed","227","13.022239768390579","0","10481","3","7599","0.0007000000000000001","7595","1","0.028900000000000002","263000"
"level_completed","228","10.947954393024812","10","7735","4","7455","0.0006","7453","1","0.028300000000000002","263000"
"level_completed","229","7.0370219690805556","7","11941","0","7374","0.0006","7373","1","0.027999999999999997","263000"
"level_completed","230","5.315236666211974","1","9557","0","7331","0.0006","7330","1","0.0279","263000"
"level_completed","231","16.34701950620653","35","7550","7","7331","0.0006","7331","1","0.0279","263000"
"level_completed","232","13.497948016415869","7","7445","0","7310","0.0006","7309","1","0.0278","263000"
"level_completed","233","11.434514003294899","0","7505","1","7284","0.0006","7283","1","0.0277","263000"
"level_completed","234","10.732603271416691","0","8955","1","7214","0.0006","7212","1","0.0274","263000"
"level_completed","235","13.021635957565604","0","7578","0","7164","0.0006","7163","1","0.027200000000000002","263000"
"level_completed","236","12.163753321213822","0","8007","2","7151","0.0006","7150","1","0.027200000000000002","263000"
"level_completed","237","10.89528648038385","0","8554","1","7086","0.0006","7084","1","0.0269","263000"
"level_completed","238","5.863519313304722","2","9762","1","6990","0.0006","6989","1","0.026600000000000002","263000"
"level_completed","239","7.023145485911442","0","7049","0","6956","0.0006","6955","1","0.0264","263000"
"level_completed","241","7.121936550894604","2","7158","2","6651","0.0006","6648","1","0.0253","263000"
"level_completed","242","5.602859292701281","1","7947","1","6645","0.0006","6645","1","0.0253","263000"
"level_completed","240","6.921426412813538","24","12466","9","6618","0.0006","6615","1","0.0252","263000"
"level_completed","243","14.765171102661599","0","8291","4","6575","0.0006","6574","1","0.025","263000"
"level_completed","244","10.080354414909866","0","9530","2","6546","0.0006","6544","1","0.024900000000000002","263000"
"level_completed","245","11.32685784767191","0","8244","0","6486","0.0006","6486","1","0.024700000000000003","263000"
"level_completed","246","10.318900126422253","71","12904","20","6328","0.0005","6328","1","0.0241","263000"
"level_completed","249","8.028367670364497","4","6460","1","6310","0.0005","6310","1","0.024","263000"
"level_completed","247","5.4215374841169","21","11919","7","6296","0.0005","6295","1","0.0239","263000"
"level_completed","248","15.304313226165844","40","6512","5","6283","0.0005","6281","1","0.0239","263000"
"level_completed","250","12.94578896418199","82","8714","14","6198","0.0005","6197","1","0.0236","263000"
"level_completed","251","20.692496723460014","0","6780","2","6104","0.0005","6101","1","0.0232","263000"
"level_completed","252","12.83472175941352","0","8510","4","6002","0.0005","6000","1","0.022799999999999997","263000"
"level_completed","253","12.098078867542972","0","7322","0","5934","0.0005","5932","1","0.0226","263000"
"level_completed","254","15.436175622986951","0","7695","1","5899","0.0005","5898","1","0.022400000000000003","263000"
"level_completed","255","6.017021276595745","1","6319","2","5875","0.0005","5875","1","0.0223","263000"
"level_completed","256","6.333275921460558","1","5907","0","5806","0.0005","5806","1","0.022099999999999998","263000"
"level_completed","257","6.377378069872018","3","5876","2","5782","0.0005","5781","1","0.022000000000000002","263000"
"level_completed","258","16.20776732845698","9","5982","3","5742","0.0005","5739","1","0.0218","263000"
"level_completed","259","17.32838427947598","20","6011","7","5725","0.0005","5724","1","0.0218","263000"
"level_completed","260","16.048649615453392","0","6477","4","5591","0.0005","5591","1","0.0213","263000"
"level_completed","261","11.99889217134417","0","10073","0","5416","0.0005","5416","1","0.0206","263000"
"level_completed","262","11.549217002237134","0","8761","2","5364","0.0005","5364","1","0.0204","263000"
"level_completed","263","9.381685119159323","0","6555","2","5329","0.0005","5328","1","0.0203","263000"
"level_completed","264","11.061090225563907","0","5839","1","5320","0.0005","5320","1","0.0202","263000"
"level_completed","265","10.813651748777739","0","5740","0","5318","0.0005","5316","1","0.0202","263000"
"level_completed","266","10.938651471984807","0","6127","1","5265","0.0005","5263","1","0.02","263000"
"level_completed","267","8.747301464919044","4","10206","6","5188","0.0004","5186","1","0.0197","263000"
"level_completed","269","8.809533267130083","1","5098","0","5035","0.0004","5035","1","0.0191","263000"
"level_completed","268","13.341230340434","53","5491","23","5023","0.0004","5022","1","0.0191","263000"
"level_completed","270","15.291742747007502","85","5487","36","4929","0.0004","4927","1","0.0187","263000"
"level_completed","272","12.160579473576815","0","5284","0","4901","0.0004","4900","1","0.018600000000000002","263000"
"level_completed","271","6.866476112699056","2","5487","1","4898","0.0004","4897","1","0.018600000000000002","263000"
"level_completed","273","9.31439704675964","0","6074","0","4876","0.0004","4876","1","0.018500000000000003","263000"
"level_completed","274","9.841952834091849","0","8487","1","4834","0.0004","4833","1","0.0184","263000"
"level_completed","275","10.790755777638974","0","6358","1","4803","0.0004","4803","1","0.0183","263000"
"level_completed","276","8.506342494714588","6","6768","3","4730","0.0004","4728","1","0.018000000000000002","263000"
"level_completed","277","8.92972399150743","2","4777","1","4710","0.0004","4709","1","0.0179","263000"
"level_completed","278","12.316560509554135","7","4828","0","4710","0.0004","4710","1","0.0179","263000"
"level_completed","279","14.893247588424444","4","4796","5","4665","0.0004","4663","1","0.0177","263000"
"level_completed","280","5.677600345274062","3","5930","1","4634","0.0004","4633","1","0.0176","263000"
"level_completed","281","13.666958233107367","0","6058","0","4573","0.0004","4573","1","0.0174","263000"
"level_completed","282","12.586956521739129","0","6729","3","4554","0.0004","4553","1","0.0173","263000"
"level_completed","283","8.49101796407185","0","5223","0","4509","0.0004","4508","1","0.0171","263000"
"level_completed","284","19.705459447315217","0","6347","2","4451","0.0004","4451","1","0.0169","263000"
